Number of nodes 838 
   439 :  3.8226279e-02  3.7605865e-02 
   440 :  5.1433087e-02  1.4916643e-02 
   441 :  4.2604148e-02  2.8080989e-02 
   442 :  4.8346154e-02  2.1355989e-02 
   443 :  4.7486900e-02  2.6377851e-02 
   444 :  3.2648520e-02  4.5551314e-03 
   445 :  3.9019273e-02  3.7504371e-03 
   446 :  3.4258390e-02  7.6263603e-03 
   447 :  3.8611952e-02  8.0489521e-03 
   448 :  3.4688642e-02  2.5737506e-03 
   449 :  3.1472985e-02  6.7786264e-03 
   450 :  4.3664729e-02  4.1185184e-03 
   451 :  3.6313652e-02  5.1506121e-03 
   452 :  3.2009241e-02  1.9487109e-03 
   453 :  4.2710536e-02  1.0250608e-02 
   454 :  2.0269119e-02  2.5996882e-02 
   455 :  2.2757610e-02  3.1916463e-02 
   456 :  2.3733817e-02  2.5855456e-02 
   457 :  2.6276573e-02  2.9414455e-02 
   458 :  1.9573254e-02  2.8754369e-02 
   459 :  2.1606955e-02  2.3867091e-02 
   460 :  2.5399106e-02  3.5755506e-02 
   461 :  2.2617387e-02  2.8873239e-02 
   462 :  1.7692253e-02  2.6746460e-02 
   463 :  3.0232555e-02  3.1863105e-02 
   464 : -3.6500097e-03  3.8505330e-02 
   465 :  1.4602231e-03  3.2410023e-02 
   466 :  3.7463522e-03  3.8200822e-02 
   467 : -4.9070372e-03  3.2460600e-02 
   468 :  4.9070372e-03  3.2460600e-02 
   469 : -2.6058812e-03  4.4366186e-02 
   470 :  3.1000984e-03  4.3265186e-02 
   471 :  1.8419299e-03  4.8738915e-02 
   472 : -1.6741308e-03  3.2617493e-02 
   473 : -8.6744721e-06  3.5751960e-02 
   474 :  1.3611508e-14  4.0248174e-02 
   475 :  3.5778465e-03  3.4892796e-02 
   476 : -3.6880027e-03  3.5144536e-02 
   477 : -2.1924782e-02  4.9324753e-02 
   478 :  2.1924782e-02  4.9324753e-02 
   479 : -1.2406113e-02  5.1951390e-02 
   480 :  1.3454495e-02  5.1907861e-02 
   481 : -3.7094752e-03  5.3095886e-02 
